topic,definition,formula,variables,answer_unit
"measurement","Measurement is the comparison of a physical quantity with a standard unit.","—","—","—"
"SI units","SI units are internationally agreed standard units used to measure physical quantities.","—","—","—"
"length","Length is the distance between two points.","—","—","m"
"mass","Mass is the amount of matter in an object.","—","—","kg"
"time","Time is the duration between events or the interval during which an event occurs.","—","—","s"
"temperature","Temperature is a measure of the degree of hotness or coldness of an object.","—","—","K"
"electric current","Electric current is the rate of flow of electric charge.","I = Q/t","I,Q,t","A"
"amount of substance","Amount of substance measures the quantity of particles in a substance.","—","—","mol"
"luminous intensity","Luminous intensity is the amount of visible light emitted by a source in a particular direction.","—","—","cd"
"scalar quantity","A scalar quantity has magnitude only and no direction.","—","—","—"
"vector quantity","A vector quantity has both magnitude and direction.","—","—","—"
"distance","Distance is the total length of the path travelled by an object.","—","—","m"
"displacement","Displacement is the change in position of an object from its initial position to its final position with direction.","Δx = x_f - x_i","x_f,x_i","m"
"speed","Speed is the distance travelled per unit time.","v = d/t","v,d,t","m/s"
"average speed","Average speed is the total distance travelled divided by the total time taken.","average speed = total distance/total time","d,t","m/s"
"velocity","Velocity is the rate of change of displacement with respect to time and has direction.","v = Δx/Δt","v,Δx,Δt","m/s"
"average velocity","Average velocity is the total displacement divided by the total time taken.","average velocity = displacement/time","Δx,t","m/s"
"acceleration","Acceleration is the rate of change of velocity with respect to time.","a = Δv/Δt","a,Δv,Δt","m/s²"
"uniform motion","Uniform motion occurs when an object travels equal distances in equal intervals of time.","—","—","—"
"uniform acceleration","Uniform acceleration occurs when velocity changes by equal amounts in equal intervals of time.","a = Δv/Δt","a,Δv,Δt","m/s²"
"equation of motion","For constant acceleration, the equations of motion relate initial velocity, final velocity, acceleration, displacement and time.","v = u + at","u,v,a,t","m/s"
"second equation of motion","For constant acceleration, displacement can be found using initial velocity, acceleration and time.","s = ut + 1/2 at²","s,u,a,t","m"
"third equation of motion","For constant acceleration, velocity, acceleration and displacement are related by this equation.","v² = u² + 2as","v,u,a,s","m/s"
