question,answer,category
"What is the largest continent in the world?","Asia is the largest continent in the world by area.","geography"
"What is the smallest continent in the world?","Australia is the smallest continent by area.","geography"
"How many continents are there?","There are seven continents: Asia, Africa, North America, South America, Antarctica, Europe, and Australia.","geography"
"What is the largest ocean in the world?","The Pacific Ocean is the largest ocean in the world.","geography"
"What is the smallest ocean in the world?","The Arctic Ocean is the smallest ocean in the world.","geography"
"What is the highest mountain in the world?","Mount Everest is the highest mountain above sea level, with an elevation of 8,848.86 metres.","geography"
"What is the largest country in the world by area?","Russia is the largest country in the world by area.","geography"
"What is the smallest country in the world?","Vatican City is the smallest country in the world by area and population.","geography"
"What is the capital of France?","Paris is the capital of France.","geography"
"What is the capital of Germany?","Berlin is the capital of Germany.","geography"
"What is the capital of Italy?","Rome is the capital of Italy.","geography"
"What is the capital of Spain?","Madrid is the capital of Spain.","geography"
"What is the capital of the United Kingdom?","London is the capital of the United Kingdom.","geography"
"What is the capital of the United States?","Washington, D.C. is the capital of the United States.","geography"
"What is the capital of Canada?","Ottawa is the capital of Canada.","geography"
"What is the capital of Australia?","Canberra is the capital of Australia.","geography"
"What is the capital of Japan?","Tokyo is the capital of Japan.","geography"
"What is the capital of China?","Beijing is the capital of China.","geography"
"What is the capital of Russia?","Moscow is the capital of Russia.","geography"
"What is the capital of Brazil?","Brasília is the capital of Brazil.","geography"
"What is the capital of Egypt?","Cairo is the capital of Egypt.","geography"
"What is the capital of Turkey?","Ankara is the capital of Türkiye.","geography"
"What is the capital of Saudi Arabia?","Riyadh is the capital of Saudi Arabia.","geography"
"What is the capital of Iran?","Tehran is the capital of Iran.","geography"
"Which country is known as the Land of the Rising Sun?","Japan is commonly known as the Land of the Rising Sun.","geography"
"Which country is known as the Land of the Midnight Sun?","Norway is commonly associated with the Land of the Midnight Sun.","geography"
"Which country is famous for the pyramids of Giza?","Egypt is famous for the pyramids of Giza.","geography"
"Where is the Great Wall located?","The Great Wall is located in China.","geography"
"Which desert is the largest hot desert in the world?","The Sahara is the largest hot desert in the world.","geography"
"Which is the largest rainforest in the world?","The Amazon rainforest is the world's largest tropical rainforest.","geography"
"Which river is traditionally regarded as the longest river in the world?","The Nile is traditionally regarded as the world's longest river, although measurements comparing the Nile and Amazon can vary by methodology.","geography"
"Which river carries the greatest volume of water?","The Amazon River carries more water than any other river in the world.","geography"
"What is the largest island in the world?","Greenland is the world's largest island.","geography"
"What is the deepest ocean trench?","The Mariana Trench is the deepest known ocean trench.","geography"
"What is the largest lake by surface area?","The Caspian Sea is the world's largest inland body of water by surface area.","geography"
"What is the largest freshwater lake by surface area?","Lake Superior is the largest freshwater lake by surface area.","geography"
"What is the longest mountain range on land?","The Andes are the longest continental mountain range on land.","geography"
"What is the equator?","The equator is an imaginary line around Earth at 0 degrees latitude that divides Earth into the Northern and Southern Hemispheres.","geography"
"What is the Prime Meridian?","The Prime Meridian is the reference line at 0 degrees longitude passing through Greenwich, England.","geography"
"How many oceans are commonly recognized?","Five oceans are commonly recognized: Pacific, Atlantic, Indian, Southern, and Arctic.","geography"
"What is the largest planet in the Solar System?","Jupiter is the largest planet in the Solar System.","space"
"What is the smallest planet in the Solar System?","Mercury is the smallest planet in the Solar System.","space"
"How many planets are in the Solar System?","There are eight recognized planets in the Solar System.","space"
"Which planet is known as the Red Planet?","Mars is known as the Red Planet because of its reddish appearance.","space"
"Which planet is closest to the Sun?","Mercury is the planet closest to the Sun.","space"
"Which planet is farthest from the Sun?","Neptune is the farthest recognized planet from the Sun.","space"
"Which planet is known for its rings?","Saturn is especially well known for its prominent ring system.","space"
"What is Earth's natural satellite?","The Moon is Earth's natural satellite.","space"
"What is the nearest star to Earth?","The Sun is the nearest star to Earth.","space"
"What is the largest star in the Solar System?","The Sun is the star at the centre of our Solar System and contains most of its mass.","space"
"What galaxy contains the Solar System?","The Solar System is located in the Milky Way galaxy.","space"
"What is a galaxy?","A galaxy is a vast system containing stars, gas, dust, and dark matter held together by gravity.","space"
"What is a black hole?","A black hole is a region of spacetime where gravity is so strong that nothing, including light, can escape from within its event horizon.","space"
"What is a light-year?","A light-year is a unit of distance equal to the distance light travels in vacuum in one year.","space"
"What is a lunar eclipse?","A lunar eclipse occurs when Earth passes between the Sun and Moon and Earth's shadow falls on the Moon.","space"
"What is a solar eclipse?","A solar eclipse occurs when the Moon passes between the Sun and Earth and blocks some or all of the Sun's light.","space"
"What is the International Space Station?","The International Space Station is a large laboratory in low Earth orbit operated through international cooperation.","space"
"What was the first artificial satellite?","Sputnik 1, launched by the Soviet Union in 1957, was the first artificial satellite.","space"
"Who was the first human in space?","Yuri Gagarin became the first human in space in 1961.","space"
"Who was the first person to walk on the Moon?","Neil Armstrong became the first person to walk on the Moon during Apollo 11 in 1969.","space"
"What is photosynthesis?","Photosynthesis is the process by which plants and other organisms use light energy to convert carbon dioxide and water into chemical energy.","science"
"What gas do plants absorb during photosynthesis?","Plants absorb carbon dioxide during photosynthesis.","science"
"What gas is released during photosynthesis?","Oxygen is released as a by-product of photosynthesis.","science"
