question,answer,category
"What is the capital of Pakistan?","The capital of Pakistan is Islamabad. 🇵🇰🏛️","geography"
"What is the currency of Pakistan?","The currency of Pakistan is the Pakistani Rupee (PKR). 💰🇵🇰","general"
"What is the national language of Pakistan?","Urdu is the national language of Pakistan. 🇵🇰🗣️","culture"
"What is the national flower of Pakistan?","The national flower of Pakistan is Jasmine. 🌸🇵🇰","national_symbols"
"What is the national animal of Pakistan?","The national animal of Pakistan is the Markhor. 🐐🇵🇰","national_symbols"
"What is the national bird of Pakistan?","The national bird of Pakistan is the Chukar Partridge. 🐦🇵🇰","national_symbols"
"What is the largest province of Pakistan by area?","Balochistan is the largest province of Pakistan by area. 🗺️🇵🇰","geography"
"What is the largest city of Pakistan?","Karachi is Pakistan's largest city by population. 🏙️🇵🇰","geography"
"What is the highest mountain in Pakistan?","K2 is the highest mountain in Pakistan, with an elevation of 8,611 metres. 🏔️🇵🇰","geography"
"What is the national sport of Pakistan?","Field hockey is traditionally recognized as Pakistan's national sport. 🏑🇵🇰","sports"
"What are the four provinces of Pakistan?","The four provinces of Pakistan are Punjab, Sindh, Khyber Pakhtunkhwa, and Balochistan. 🇵🇰🗺️","geography"
"What is the largest province of Pakistan by population?","Punjab is the largest province of Pakistan by population. 🇵🇰🗺️","geography"
"What is the smallest province of Pakistan by area?","Khyber Pakhtunkhwa is the smallest of Pakistan's four provinces by area. 🗺️🇵🇰","geography"
"Which province is famous for its mountains and valleys?","Khyber Pakhtunkhwa is famous for its mountains, valleys, and scenic landscapes. 🏔️🇵🇰","geography"
"Which province is known for its large deserts?","Sindh is known for deserts such as the Thar Desert. 🏜️🇵🇰","geography"
"What is the longest river in Pakistan?","The Indus River is the longest river in Pakistan. 🌊🇵🇰","geography"
"Where does the Indus River flow?","The Indus River flows through Pakistan from the northern regions toward the Arabian Sea. 🌊🇵🇰","geography"
"Which sea is located south of Pakistan?","The Arabian Sea is located to the south of Pakistan. 🌊🇵🇰","geography"
"Which countries share a border with Pakistan?","Pakistan shares land borders with India, Afghanistan, Iran, and China. 🌍🇵🇰","geography"
"What is the largest desert in Pakistan?","The Thar Desert is the largest desert region in Pakistan. 🏜️🇵🇰","geography"
"Where is K2 located?","K2 is located in the Karakoram mountain range in Gilgit-Baltistan, Pakistan. 🏔️🇵🇰","geography"
"What is the Karakoram Range?","The Karakoram is a major mountain range in northern Pakistan and contains some of the world's highest peaks. 🏔️🇵🇰","geography"
"What is the capital of Punjab?","Lahore is the capital of Punjab province. 🏙️🇵🇰","geography"
"What is the capital of Sindh?","Karachi is the capital of Sindh province. 🏙️🇵🇰","geography"
"What is the capital of Khyber Pakhtunkhwa?","Peshawar is the capital of Khyber Pakhtunkhwa province. 🏙️🇵🇰","geography"
"What is the capital of Balochistan?","Quetta is the capital of Balochistan province. 🏙️🇵🇰","geography"
"What is the capital of Gilgit-Baltistan?","Gilgit is the administrative capital of Gilgit-Baltistan. 🏔️🇵🇰","geography"
"What was the Lahore Resolution?","The Lahore Resolution was passed on 23 March 1940 and called for independent states for Muslims in the Muslim-majority areas of British India. 📜🇵🇰","history"
"When was the Lahore Resolution passed?","The Lahore Resolution was passed on 23 March 1940. 📅🇵🇰","history"
"Where was the Lahore Resolution passed?","The Lahore Resolution was passed at Minto Park in Lahore, which is now known as Greater Iqbal Park. 📍🇵🇰","history"
"Who presented the Lahore Resolution?","A. K. Fazlul Huq presented the Lahore Resolution at the Muslim League session in Lahore. 📜🇵🇰","history"
"Who was Muhammad Ali Jinnah?","Muhammad Ali Jinnah was the founder of Pakistan and served as its first Governor-General. 🇵🇰👤","history"
"When was Muhammad Ali Jinnah born?","Muhammad Ali Jinnah was born on 25 December 1876 in Karachi. 🎂🇵🇰","history"
