question,answer
"What is programming?","Programming is the process of writing instructions that a computer can execute to perform a task or solve a problem."
"Define programming.","Programming is the process of creating computer programs by writing and organizing instructions in a programming language."
"What is a program?","A program is a set of instructions written to make a computer perform a specific task."
"What is a programming language?","A programming language is a formal language used to write instructions that computers can execute."
"What is source code?","Source code is the human-readable code written by a programmer in a programming language."
"What is machine code?","Machine code is the low-level binary instruction code that a computer's processor can execute directly."
"What is an algorithm?","An algorithm is a finite sequence of clear steps used to solve a problem or perform a task."
"What is pseudocode?","Pseudocode is an informal, human-readable description of an algorithm written without the strict syntax of a programming language."
"What is a flowchart?","A flowchart is a diagram that represents the steps and flow of an algorithm or process using standard symbols."
"What is debugging?","Debugging is the process of finding, analyzing, and fixing errors in a program."
"What is a syntax error?","A syntax error occurs when code does not follow the grammatical rules of a programming language."
"What is a logical error?","A logical error occurs when a program runs but produces an incorrect result because its logic is wrong."
"What is a runtime error?","A runtime error occurs while a program is executing and prevents it from completing normally."
"What is a compiler?","A compiler translates source code into machine code or another lower-level form before the program is executed."
"What is an interpreter?","An interpreter executes source code by translating and processing it during program execution."
"What is a variable?","A variable is a named storage location used to hold a value that can change during program execution."
"What are variables?","Variables are named storage locations used to hold values that can change during program execution."
"What is a constant?","A constant is a value that is intended to remain unchanged during program execution."
"What is a data type?","A data type specifies what kind of value a variable can store and what operations can be performed on that value."
"What are data types?","Data types define the kinds of values that variables can store, such as integers, floating-point numbers, characters, and booleans."
"What is an integer?","An integer is a whole number that has no fractional or decimal part."
"What is a floating-point number?","A floating-point number represents a number that can contain a fractional or decimal part."
"What is a character?","A character is a single symbol, such as a letter, digit, or special character."
"What is a Boolean?","A Boolean is a data type that represents one of two logical values, usually true or false."
"What is a string?","A string is a sequence of characters used to represent text."
"What are strings?","Strings are sequences of characters used to represent text in a program."
"What is type conversion?","Type conversion is the process of changing a value from one data type to another."
"What is an operator?","An operator is a symbol or keyword that tells a program to perform an operation on one or more values."
"What are arithmetic operators?","Arithmetic operators perform mathematical operations such as addition, subtraction, multiplication, division, and remainder."
"What are relational operators?","Relational operators compare two values and produce a Boolean result."
"What are logical operators?","Logical operators combine or modify Boolean conditions, commonly using AND, OR, and NOT."
"What is an assignment operator?","An assignment operator is used to assign a value to a variable."
